trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",30,0,-116.38484313216266,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,7,-23.3193766442107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",25,0,-78.43347103587804,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
135,False,"{'a': 0.002, 'e': 0.764907781102864}",30,11,-135.91861655731412,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 3}",1
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",20,14,-12.67433504550319,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",20,10,-4.958914834614797,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",20,0,-79.10124202659627,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",25,0,-77.9605410412259,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",20,0,-159.9523058251997,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",20,0,-11.725386822046623,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",25,0,-86.75861625317755,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",25,0,-66.10125605520129,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 0.002, 'e': 0.751262615946886}",30,0,-62.918831838845406,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",25,0,-81.01847352842428,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",20,0,-15.81739206570201,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",25,12,-61.536561506492724,"{0: 7, 1: 1, 2: 3, 3: 2, 4: 0}",1
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",20,12,-42.116198573924315,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 0}",1
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",25,2,-68.79411842148113,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",20,0,-112.9568847403941,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",30,0,-119.13114516317715,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",30,7,-72.0028156585937,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",30,1,-114.40490953489861,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 1}",1
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",20,0,-75.14722292673233,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",20,8,-19.498429969057998,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
